t,x,y,z
1781773054.5471764,-736.1363204949151,-1717.43422504869,-455.96663071305295
1781773054.5614188,-759.4328136380872,-1690.2379063680141,-461.063962686069
1781773054.5808177,-781.7654071750333,-1661.5666230515408,-469.83369334518125
1781773054.5925326,-796.8210522166308,-1641.570913003182,-476.93577277862823
1781773054.619424,-834.0988324148024,-1588.8255613320848,-500.599357918694
1781773054.6419964,-862.9833978281919,-1543.033442721013,-523.854314132523
1781773054.6528897,-877.6346737167559,-1519.0374126154425,-536.3570381609475
1781773054.6695154,-898.076198889299,-1479.734847195422,-555.9353619510881
1781773054.6916926,-922.8222717815919,-1422.5391193949324,-582.0935040118599
1781773054.7082744,-938.33409670492,-1377.2586558918897,-600.8639165448548
1781773054.7305677,-951.6624109405418,-1314.7860359083618,-623.546887028651
1781773054.7530398,-954.4412117825236,-1253.602117802309,-641.8616964524118
1781773054.7640555,-951.7598529498287,-1225.2194524021513,-649.4019139173398
1781773054.781037,-943.1447369338415,-1186.4687205691691,-659.1486422649363
1781773054.803076,-925.7919571869664,-1143.1235389561111,-667.8509232577858
1781773054.8140137,-915.7041016652471,-1125.0889411318833,-671.5975553768071
1781773054.8250642,-905.0488351753294,-1109.93260016047,-675.5580623442976
1781773054.8418207,-889.1105197000459,-1093.1715156893513,-681.1792783329171
1781773054.8640027,-870.4412437557329,-1080.1043677630971,-682.4056932172999
1781773054.8749633,-867.2552239531682,-1076.2030493449024,-681.5493931729601
1781773054.8917525,-866.2592313659621,-1074.7328275037917,-682.8549330063178
1781773054.9140756,-866.2557496818813,-1075.1788021718523,-682.4374472906202
1781773054.9251058,-866.8853931008241,-1075.2764749986868,-681.3667491324504
1781773054.9419525,-867.442469661299,-1074.2743369863174,-681.0750581584706
1781773054.9529045,-868.0600766054268,-1073.9866381229783,-680.8259932491667
1781773054.976663,-868.726444969031,-1073.689190468144,-680.8577351199801
1781773054.9973302,-868.3973490231135,-1073.844484844503,-681.1816455199225
1781773055.0138547,-868.268845346885,-1073.8947471559131,-681.3548393628296
1781773055.036055,-868.2304849478504,-1073.8833762428462,-681.5133595440014
1781773055.053073,-868.3413374468348,-1073.9132724969375,-681.6551501594811
1781773055.0699282,-868.5370648942823,-1073.938712475233,-681.7606148416318
1781773055.0862033,-868.6216793779789,-1073.9929477378519,-681.8345793953287
1781773055.102779,-868.7551547841141,-1074.0939267187428,-681.9616506696126
1781773055.113879,-868.8125206330964,-1074.165732511749,-682.0375628066689
