t,x,y,z
0.000000000,0.186201776,-0.694017869,0.745595795
0.022037506,0.079283725,-0.717860372,0.713020296
0.038709879,0.002183502,-0.735366529,0.753211044
0.061039686,-0.097398522,-0.758366642,0.801202717
0.083783627,-0.195542277,-0.781341584,0.842623002
0.105358839,-0.293406487,-0.802801870,0.879562851
0.127347708,-0.390786531,-0.825325044,0.908799405
0.143773556,-0.462726999,-0.842063249,0.928710434
0.165847301,-0.556896826,-0.864418791,0.949788757
0.182800531,-0.524828230,-0.862533921,0.975570577
0.205303192,-0.410544056,-0.847053506,1.013336684
0.221954584,-0.324957008,-0.835590474,1.037172979
0.243616819,-0.213523551,-0.820456666,1.065523192
0.266609669,-0.101860563,-0.807217006,1.090082688
0.305041075,0.090488172,-0.784677923,1.119132683
0.327062845,0.199216436,-0.772911631,1.130990187
0.377620220,0.439996948,-0.748499260,1.138691961
0.399671793,0.545910631,-0.739220071,1.135806797
0.421883345,0.649654419,-0.729837191,1.128262288
0.449757576,0.779443670,-0.719081132,1.111366266
0.471841097,0.882206277,-0.711601647,1.094327319
0.494262695,0.983435952,-0.704334918,1.072968158
0.510639429,1.059069892,-0.699181649,1.053057117
0.533321142,1.159947751,-0.692719884,1.023866513
0.546180010,1.234316363,-0.689576954,0.999507395
0.572165251,1.332801103,-0.684326328,0.962314723
0.593733788,1.431447983,-0.679130944,0.920985570
0.611636162,1.505063421,-0.675726965,0.887917344
0.639942169,1.625371697,-0.671774132,0.827391801
0.662032127,1.745287954,-0.667797338,0.759403880
0.688956022,1.838840320,-0.665282269,0.718617919
0.707115173,1.921810765,-0.664506457,0.768186708
0.732660055,2.004785677,-0.662761517,0.812971036
0.755479574,2.086022574,-0.661637432,0.851436797
0.771842957,2.147236253,-0.661066810,0.877721439
0.793984175,2.227982651,-0.661792827,0.907768717
0.810750961,2.287986885,-0.661801171,0.927719809
0.832908630,2.366670706,-0.662582630,0.949228936
0.849462986,2.424816266,-0.663173744,0.962557445
0.865794420,2.483638134,-0.664224564,0.972805755
0.899852753,2.599623660,-0.667849248,0.984936195
0.916059494,2.657014581,-0.669712536,0.987276229
0.938205242,2.732684108,-0.672174737,0.986026601
0.955120325,2.786309925,-0.673718359,0.983082322
0.976926088,2.761942135,-0.663813963,0.977529346
0.999253273,2.622802532,-0.639048666,0.970372912
1.019778013,2.486670815,-0.615323249,0.954574999
1.043811798,2.352071893,-0.591366312,0.934692871
1.060600519,2.252043555,-0.573072939,0.916254413
1.082822084,2.120431835,-0.549173617,0.886419670
1.100165844,2.022276734,-0.531872175,0.861748702
1.122126579,1.894519149,-0.508949210,0.824479735
1.138335466,1.799278304,-0.491951938,0.792315953
1.168638945,1.607840584,-0.457903323,0.719657897
1.223297358,1.365646836,-0.410802830,0.795442263
1.272448301,1.354650667,-0.386041241,0.832690657
1.294124603,1.358355384,-0.375642150,0.845530831
1.327785015,1.363805289,-0.359794735,0.856496489
1.349631786,1.367376371,-0.349646841,0.856588430
1.371498108,1.371373155,-0.339758278,0.852633381
1.411000729,1.378327564,-0.322489133,0.834621740
1.428070307,1.381409238,-0.314987436,0.823302268
1.449567318,1.385975681,-0.304725937,0.804229716
1.465962648,1.389893842,-0.297457156,0.787122453
1.487986088,1.395254378,-0.288291717,0.759242457
1.510980368,1.399466554,-0.278822749,0.725681502
1.527012587,1.399905042,-0.272779877,0.721392965
1.549822092,1.399193902,-0.265158392,0.751150944
1.572493315,1.396735870,-0.257453328,0.774958817
1.593924046,1.394578980,-0.250470378,0.792907694
1.610416651,1.392075770,-0.245429426,0.801777760
1.632500648,1.390479573,-0.238538388,0.811588816
1.649232864,1.389391635,-0.233204529,0.815817588
1.672170162,1.388416156,-0.226366280,0.818270594
1.688219070,1.387872918,-0.221466166,0.817863320
1.721862316,1.387437208,-0.211372291,0.809958717
1.739695311,1.387326008,-0.206813015,0.801574565
1.760606766,1.388635423,-0.200725406,0.787188369
1.777068138,1.389493007,-0.196128774,0.772497496
1.799341440,1.392924938,-0.189353086,0.749349708
1.815891743,1.395458506,-0.184501632,0.729131158
1.838378668,1.398564504,-0.178664754,0.716265192
1.855047941,1.399032424,-0.175183043,0.735236791
1.882792950,1.397018048,-0.169582604,0.759608208
1.899332762,1.395774358,-0.166219801,0.770500262
1.916004419,1.394739552,-0.162955469,0.778714677
1.938387156,1.393547619,-0.158716311,0.785714428
1.961364746,1.392702207,-0.154594653,0.788177812
1.977647305,1.392038841,-0.151670985,0.786782220
2.005077362,3.541576857,-0.264994846,0.059931197
2.044099331,3.466626108,-0.175199747,0.035256837
2.060490847,3.434239940,-0.136912514,0.028979675
2.083068371,3.391218424,-0.087482951,0.024796909
2.110821486,3.341575337,-0.030674806,0.025647795
2.126990080,3.311334482,-0.001089277,0.026898232
2.155408859,3.265856852,0.041538005,0.029235401
2.177228928,3.235026994,0.069252523,0.029390101
2.193585396,3.215666846,0.086314153,0.027507125
2.210681438,3.199496681,0.100308102,0.023435174
2.232981205,3.180114009,0.119458275,0.008179641
2.249714375,3.172391631,0.125943835,-0.000835772
2.271738052,3.167731572,0.134988990,-0.003024021
2.288641214,3.162170123,0.145444146,-0.001826378
2.310210228,3.153177744,0.155274440,-0.001207009
2.327038288,3.148922994,0.159415819,0.000461857
2.349144936,3.146167978,0.162415579,0.002207499
2.366028309,3.144988118,0.162989973,0.002615297
2.388657808,3.144156413,0.163016452,0.003305449
2.410637856,3.142865277,0.162966744,0.003911726
2.426936626,3.142068823,0.162808386,0.004312755
2.449244022,3.141407956,0.162881667,0.004475365
2.467612028,3.140981187,0.162740984,0.004783074
2.505110741,3.475731379,-0.357386747,0.085505565
2.521974325,3.453404689,-0.312248839,0.074801705
2.543891430,3.418662199,-0.247049120,0.060752521
2.560815573,3.390906197,-0.201430581,0.051934813
2.583237410,3.352517622,-0.143357560,0.041607301
2.604894161,3.310465299,-0.083894163,0.031850822
2.621345997,3.278616978,-0.041370248,0.023933799
2.643862963,3.236727136,0.015237797,0.017935163
2.665974617,3.198484323,0.069594740,0.014647218
2.688036680,3.165432943,0.123168216,0.013114267
2.722048044,3.133829095,0.194365885,0.015938801
2.743827581,3.126881062,0.220865542,0.014964780
2.760562897,3.119367580,0.226101466,0.008617117
2.783259869,3.117350778,0.226213657,0.005698014
2.805083275,3.115450547,0.226350116,0.003644000
2.822183847,3.114487483,0.226366744,0.003371587
2.843895912,3.113626718,0.226786202,0.003388566
2.866050005,3.113247372,0.227148242,0.003317456
2.893888235,3.112663330,0.227774679,0.003576715
2.910886288,3.112338626,0.228024346,0.003964727
2.933057547,3.112184257,0.228239131,0.004209735
2.949276924,3.112064483,0.228534739,0.004366304
2.971524715,3.111566949,0.229043950,0.004397711
2.994102955,2.509172872,0.469089704,0.060364437
3.015919924,2.449959792,0.463456611,0.053896394
3.038487434,2.395988192,0.454869255,0.047031857
3.060906172,2.349944117,0.443447693,0.039373332
3.076988459,2.323064116,0.436163253,0.033406192
3.099204063,2.299677961,0.428820391,0.024096354
3.115907192,2.287907770,0.426010626,0.012394607
3.138067007,2.280198482,0.427237880,-0.000946142
3.160276651,2.261881903,0.428007329,-0.007193106
3.176916122,2.251010691,0.424422172,-0.004785423
3.199231386,2.242726117,0.421615164,-0.001486142
3.222180128,2.240603917,0.419893643,-0.000541588
3.235174656,2.240318967,0.419494265,-0.000108871
3.260822773,2.239958584,0.418898105,-0.000090602
3.288188696,2.239616952,0.417862626,0.000211167
3.305166006,2.239655161,0.417280211,0.000562165
3.327488184,2.239758434,0.416646934,0.000814429
3.349197865,2.239982992,0.416157011,0.001659586
3.379822254,2.240460892,0.414823720,0.002474552
3.413122654,2.240581124,0.413563584,0.003239906
3.445722580,2.240685370,0.412892744,0.004182198
3.500066996,2.959827377,0.410217740,0.157119195
3.527704000,2.960597656,0.434738205,0.176122425
3.549607992,2.960947899,0.453704226,0.189878149
3.565887928,2.960935750,0.468177006,0.200486406
3.588265896,2.959885736,0.486688510,0.214000608
3.610295773,2.957951619,0.503792299,0.225238731
3.627106667,2.955512053,0.511957277,0.228578814
3.649780273,2.951628811,0.526662935,0.237357526
3.666095495,2.947877646,0.537775987,0.243744926
3.688918591,2.942067984,0.551473231,0.250840895
3.710303307,2.935534033,0.564446825,0.256273635
3.738331318,2.925571231,0.578428070,0.259895445
3.760525465,2.916649718,0.587727886,0.260877542
3.777553320,2.909747022,0.594012971,0.259557324
3.799389601,2.900799164,0.601172656,0.256744821
3.821475267,2.891087346,0.606444672,0.251809253
3.838230133,2.883996192,0.609245917,0.247230542
3.860304117,2.874395101,0.611232543,0.240284377
3.894005299,2.861323995,0.611032119,0.227463289
3.915752172,2.853447647,0.608450190,0.217859342
3.933020830,2.848154262,0.605406941,0.209859776
3.955052614,2.841498828,0.600847327,0.199218588
3.971987486,2.837099288,0.596303979,0.190246865
3.994072199,2.831890406,0.589350398,0.178062088
4.015853405,2.828288695,0.582275846,0.165830338
4.033188343,2.825789751,0.577239785,0.156774109
4.055737495,2.823271905,0.570479679,0.143426359
4.077575445,2.821624404,0.565162949,0.129923435
4.099155903,2.820233503,0.558883261,0.116157867
4.128165960,2.819373791,0.552359830,0.101392135
4.144109488,2.819609915,0.549353314,0.092609764
4.165711164,2.821674398,0.548040188,0.081879527
4.188139439,2.824550387,0.548753679,0.070509279
4.205109835,2.826856844,0.549737430,0.062661306
4.227110147,2.830082552,0.553068725,0.053080532
4.249139547,2.832596579,0.558716515,0.044230997
4.266660690,2.834599572,0.564016104,0.035452672
4.288158178,2.833267310,0.570241318,0.020850704
4.310185671,2.831406615,0.574868091,0.006806065
4.327038288,2.832198807,0.578672585,-0.000893373
4.349092007,2.835083390,0.581327667,-0.004567538
4.371930361,2.836310773,0.582192665,-0.004088324
4.388199091,2.836541607,0.582318701,-0.003884161
4.410242796,2.836946787,0.582704186,-0.003914386
4.427123785,2.836913674,0.582851744,-0.003922103
4.449332714,2.836838736,0.582730946,-0.003990347
4.471591949,2.836594835,0.582563850,-0.003813331
4.505548239,2.453783163,-0.143526960,0.726096149
4.527341843,2.459174804,-0.143081337,0.728731248
4.549389124,2.466921051,-0.142556833,0.726085996
4.565899849,2.473164431,-0.142676928,0.721132428
4.588653326,2.480024189,-0.139599181,0.720571593
4.612090111,2.487192680,-0.136198922,0.719293009
4.644722700,2.497855532,-0.132459902,0.716198669
4.666736841,2.506714193,-0.131916818,0.715083143
4.688574553,2.517076070,-0.132204200,0.714986188
4.710788250,2.527281860,-0.132768531,0.715313642
4.732662678,2.537207995,-0.133922240,0.714025387
4.749144554,2.544087070,-0.133918365,0.715101946
4.772055387,2.553115307,-0.135326584,0.714619349
4.788316250,2.559359680,-0.135447489,0.715702030
4.805019140,2.564606881,-0.136314782,0.715950620
4.827061176,2.570620533,-0.139678367,0.714846908
4.849287033,2.576431624,-0.143471464,0.715008312
4.866129875,2.580218559,-0.146771487,0.715071279
4.888598680,2.585416420,-0.151224210,0.715152887
4.915959835,2.591902396,-0.156927214,0.715199208
4.938296318,2.595214702,-0.161986751,0.715830552
4.960402250,2.597428086,-0.168100653,0.717360705
4.977075100,2.600204071,-0.174529486,0.718872719
4.999676704,3.014750701,0.482792712,0.178311518
5.021307707,3.043258207,0.457917703,0.191112388
5.044010162,3.069314675,0.430049411,0.196664406
5.060976982,3.089435876,0.407115206,0.195080981
5.083936214,3.119658144,0.374401223,0.186452941
5.105132341,3.152455735,0.338170275,0.170333896
5.127020836,3.186524609,0.297847853,0.148691738
5.149201155,3.220038786,0.251929898,0.123748559
5.162936687,3.245813677,0.212972700,0.104115923
5.188315868,3.279518920,0.155713281,0.077705253
5.205779076,3.303476178,0.111242276,0.060342208
