chunk_id,rows,duration_s,scale_to_m,z_offset_m,x_min_m,x_max_m,y_min_m,y_max_m,z_min_m,z_max_m
1,457,7.738898,0.001000,-0.682218,-0.954441,3.052191,-1.717434,-0.298976,-0.001567,1.576613
2,194,3.299647,0.001000,0.127231,-0.322848,2.926277,-1.312036,-0.660670,-0.083421,0.798067
3,150,2.455055,0.001000,-0.602857,0.199175,5.468667,-0.526763,0.741825,-0.097282,1.179247
4,118,1.972165,0.001000,-0.685386,-1.266994,-0.759158,-1.448724,-1.090929,-0.000483,0.133260
5,86,1.473616,0.001000,-0.714122,-4.026940,-3.341750,-0.556237,-0.194288,-0.000570,0.159630
6,75,1.405758,0.001000,0.121225,-3.330225,-1.363919,0.920389,1.114811,-0.003380,0.487144
7,1,0.000000,0.001000,0.537819,-4.239306,-4.239306,0.650973,0.650973,0.000000,0.000000
8,19,0.350076,0.001000,0.043027,-5.032377,-4.978219,0.250346,0.422637,-0.000563,0.012300
9,56,1.142159,0.001000,-0.635038,-4.842327,-4.691123,0.363354,0.578504,-0.081081,1.087079
10,47,0.969521,0.001000,-4.457428,-0.127765,-0.127150,-4.286366,-4.285098,-0.000162,0.001106
11,11,0.232822,0.001000,0.353434,-5.033322,-5.019113,0.459140,0.477556,-0.011641,0.201895
12,76,1.513341,0.001000,-0.662951,-4.595117,-4.071631,-0.203644,0.166951,-0.085435,1.423528
13,85,2.116797,0.001000,-0.727619,-3.772334,-2.956140,-0.088629,0.254728,-0.043184,1.031741
14,1,0.000000,0.001000,-0.661415,-5.328765,-5.328765,0.026283,0.026283,0.000000,0.000000
15,17,0.295058,0.001000,-0.681173,0.922758,1.108354,0.542080,0.560092,-0.000385,0.009059
16,192,4.973186,0.001000,-0.657918,0.154289,3.326170,-1.924369,-0.013399,-0.004021,0.722278
17,94,2.077264,0.001000,-0.691116,-0.249187,1.812654,0.324959,0.575913,-0.001974,0.211744
18,57,1.655835,0.001000,-0.645786,1.892496,3.267595,-2.045036,-1.210882,-0.001910,0.214176
19,156,3.961449,0.001000,-0.692698,-0.562745,1.871434,-1.060622,0.581476,-0.001567,0.719020
20,112,3.528069,0.001000,-0.654806,3.108154,3.505084,-1.631628,-0.546052,-0.003821,0.828170
21,375,10.846201,0.001000,-4.458687,-0.127434,3.297616,-4.287981,-0.379340,-0.000619,4.955598
22,99,2.901153,0.001000,0.079606,0.220945,2.625260,-0.922571,-0.026856,-0.023893,0.638753
23,205,5.766884,0.001000,-0.580375,-0.315138,2.722138,-2.131160,-0.898678,-0.136972,1.225602
24,26,0.755143,0.001000,0.056418,0.008708,2.899609,-1.109885,-0.633116,-0.018277,0.255224
25,42,1.255729,0.001000,0.068210,-0.084450,2.645115,-0.924773,-0.713603,-0.026257,0.555105
26,80,1.961099,0.001000,-0.526674,0.323687,2.324799,-1.851209,-1.730753,-0.160520,1.934905
27,238,6.071606,0.001000,-0.631202,-0.791394,3.080232,-1.251947,0.053927,-0.110790,1.332728
28,233,6.579674,0.001000,-0.620829,-6.490739,2.847390,-1.702287,-0.311490,-0.134549,1.424844
29,32,0.964137,0.001000,-0.654490,3.513968,3.661038,-0.906534,-0.666947,-0.000040,0.151852
30,69,2.041921,0.001000,-0.657540,-3.240326,3.737575,-0.855227,-0.472700,-0.000736,1.076053
31,32,0.879962,0.001000,0.058554,-0.067014,2.743465,-0.872175,-0.749884,-0.019599,0.278814
32,41,1.077783,0.001000,0.099054,-0.223706,2.889736,-1.779426,-0.153577,-0.050025,0.719892
33,382,8.572850,0.001000,-0.675560,-0.556897,3.541577,-0.864419,0.611233,-0.007193,1.138692
34,155,4.475499,0.001000,-0.553851,-0.786291,5.143662,-2.462800,-0.389941,-0.106221,1.026318
35,43,1.449947,0.001000,0.055350,2.561166,2.819131,-2.750728,-1.132169,-0.002241,0.146883
36,392,11.847885,0.001000,-0.341778,-1.623542,4.283545,-1.682945,0.689822,-0.349459,1.839897
37,310,7.555208,0.001000,-0.319192,-0.750719,3.323008,-0.886882,0.192893,-0.379622,2.101853
38,25,0.589185,0.001000,0.101987,2.012653,3.498640,-0.888413,-0.256874,-0.054259,0.571028
39,31,0.828652,0.001000,-0.633917,0.119328,2.404661,-2.170055,-1.431317,-0.075354,1.621202
40,129,3.786544,0.001000,-0.731560,-5.083740,0.520915,-1.877828,-0.689170,-0.030244,0.997959
41,118,3.875000,0.001000,0.037632,-3.613576,3.309661,-1.455220,-0.509234,-0.102110,0.570076
42,4,0.096873,0.001000,0.066156,-1.063251,-1.014975,0.621491,0.773270,-0.002316,0.009728
43,278,9.584948,0.001000,-0.649373,-4.999130,3.174034,-1.504805,-0.387381,-0.098975,1.761373
44,51,1.633935,0.001000,-0.030700,-0.758755,3.339138,-1.158813,-0.776417,-0.136514,0.595811
45,113,4.425929,0.001000,0.091115,-1.706830,3.714556,-1.568852,-0.474488,-0.098545,1.533786
46,73,2.910409,0.001000,-0.541985,1.899915,3.560841,-3.067452,-0.704561,-0.106240,1.950739
47,227,8.638708,0.001000,-0.658575,-0.428414,3.633746,-1.417938,-0.051276,-0.002507,1.713953
48,1,0.000000,0.001000,-0.716011,-0.435448,-0.435448,0.862231,0.862231,0.000000,0.000000
