t,x,y,z
0.000000000,2.324799010,-1.793817268,1.934904664
0.033728123,2.257892711,-1.795068794,1.934268583
0.057340622,2.214291625,-1.796566741,1.928043954
0.078255653,2.171230001,-1.798415706,1.916423456
0.110908270,2.105346348,-1.800172080,1.891280442
0.144408464,2.041651612,-1.803397308,1.855095218
0.177648306,1.976719319,-1.805781430,1.809753598
0.210950375,1.913653244,-1.810021177,1.755517736
0.246372938,1.850366998,-1.813233666,1.691005939
0.278381348,1.787273046,-1.816239566,1.615484302
0.299894333,1.745335786,-1.818027925,1.560183357
0.333536863,1.682130427,-1.820426534,1.468932380
0.366500139,1.619802689,-1.824062781,1.368259584
0.399901152,1.556753429,-1.826425504,1.258950417
0.445312977,1.473765905,-1.830317949,1.099277665
0.466613293,1.431827969,-1.832034523,1.013496500
0.483614445,1.400524795,-1.833033719,0.947202523
0.505607605,1.358603714,-1.835213495,0.854847859
0.522580147,1.327304122,-1.836049038,0.784104734
0.538737059,1.296014598,-1.837011067,0.710620707
0.560943842,1.254063569,-1.838135628,0.609784682
0.583316326,1.212104611,-1.838836215,0.504507084
0.622000217,1.138634903,-1.839692250,0.313352125
0.638641834,1.107278769,-1.840764055,0.228584133
0.655982971,1.075845054,-1.840684341,0.140975080
0.677587748,1.033346354,-1.840289651,0.022916477
0.694632769,1.001726277,-1.839227022,-0.067977476
0.710990667,0.969435749,-1.839636119,-0.160520245
0.727627516,0.948081426,-1.839376400,-0.123884313
0.750051975,0.924645352,-1.838485460,-0.018742740
0.766454935,0.907106910,-1.837699334,0.056268615
0.788549423,0.882805168,-1.836562562,0.150964602
0.821792126,0.843028155,-1.834973341,0.280922035
0.838824749,0.823122078,-1.834181542,0.339984761
0.866771221,0.795329637,-1.831969912,0.431845001
0.899796486,0.762525338,-1.831201618,0.534894743
0.916631937,0.746076882,-1.831076250,0.582515725
0.933646202,0.730093451,-1.830868849,0.627356880
0.955713272,0.708893053,-1.830848650,0.682846647
0.977583408,0.687942023,-1.831187450,0.733404847
1.010802031,0.656662957,-1.832311231,0.799372935
1.028905392,0.641126213,-1.832889212,0.827978319
1.044731617,0.625718439,-1.833549183,0.853789648
1.066657543,0.605300623,-1.834355745,0.884013502
1.083425522,0.589951453,-1.834869980,0.903533878
1.105487108,0.569483539,-1.835571131,0.925250115
1.122219324,0.554094664,-1.836162118,0.938674126
1.138973236,0.538834053,-1.836849117,0.949351320
1.160847902,0.518514211,-1.837867653,0.959132331
1.177607059,0.503447299,-1.838682105,0.963251646
1.194436789,0.488388254,-1.839583761,0.964593590
1.211359262,0.473328657,-1.840483971,0.963250688
1.233724356,0.453176441,-1.841779022,0.957506706
1.250410557,0.438113131,-1.842806329,0.950060199
1.277824402,0.413178808,-1.844304217,0.931968586
1.299848080,0.393372942,-1.845637266,0.912357455
1.333620787,0.363749901,-1.848141658,0.873830667
1.355646133,0.344132182,-1.849892627,0.842036075
1.372526884,0.329594176,-1.851209244,0.815125560
1.389401913,0.323687466,-1.849292458,0.829467490
1.403771162,0.324831555,-1.844799360,0.874645182
1.436115980,0.328448259,-1.835389849,0.956974860
1.461419344,0.329693686,-1.829562908,1.005761456
1.494580507,0.331708460,-1.821642419,1.069249759
1.516810417,0.332960799,-1.816555782,1.105496691
1.550091028,0.335661927,-1.808761326,1.150555308
1.583649874,0.338760764,-1.801452171,1.184879353
1.605828047,0.340794992,-1.796902216,1.201380806
1.638831854,0.343966059,-1.790388647,1.216640463
1.672561884,0.347285678,-1.783250356,1.221440913
1.694610834,0.349288618,-1.778615598,1.219039012
1.727791309,0.351901775,-1.772206486,1.206062245
1.750095606,0.353666520,-1.768136121,1.191309416
1.783310652,0.356438688,-1.761793905,1.160752556
1.816707850,0.359365570,-1.755470701,1.120333933
1.850019932,0.361524335,-1.749806398,1.069331274
1.883239508,0.364458512,-1.744311994,1.007013245
1.916787386,0.367691813,-1.738675593,0.935298759
1.950003147,0.370095747,-1.732663053,0.853326796
1.961099148,0.371055986,-1.730752877,0.851204401
